Stock Symbol,Current Price,sentiment_score
TSLA,355.8399963378906,0.16195136283469616
MSFT,408.42999267578125,0.18473296649547566
PG,162.88999938964844,0.18473296649547566
META,736.6699829101562,0.15196324972737188
AMZN,228.67999267578125,0.18473296649547566
GOOG,186.8699951171875,0.19433679318357863
AAPL,244.60000610351562,0.13596882911392405
AMD,113.0999984741211,0.2713978446340368
NFLX,1058.5999755859375,0.09534174869716272
TSM,203.89999389648438,0.2051651350371579
PYPL,77.97000122070312,0.19131209964412813
NOC,438.8999938964844,0.10488709677419356
BX,164.83999633789062,0.312474
BA,184.4199981689453,0.18208496240601504
INTC,23.600000381469727,0.1727352380952381
CRM,326.5400085449219,0.20956609442060084
COST,1071.8499755859375,0.1837763358778626
ENPH,63.939998626708984,0.3149814814814815
NIO,4.440000057220459,0.23358480635551143
ZS,212.6999969482422,0.2892694300518135
XPEV,16.65999984741211,0.2836817777777778
