Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-01-14 00:00:00+05:30,1244.099976,1253.349976,1227.25,1238.75,13095266,0,0,RELIANCE.NS
2025-01-15 00:00:00+05:30,1244.949951,1257,1241.849976,1252.199951,9578856,0,0,RELIANCE.NS
2025-01-16 00:00:00+05:30,1258.900024,1275,1251.300049,1266.449951,14117603,0,0,RELIANCE.NS
2025-01-17 00:00:00+05:30,1322.25,1326,1285,1302.349976,29366277,0,0,RELIANCE.NS
2025-01-20 00:00:00+05:30,1316,1316,1300.25,1305.449951,14040244,0,0,RELIANCE.NS
2025-01-21 00:00:00+05:30,1310.5,1313,1270.199951,1273.699951,14562976,0,0,RELIANCE.NS
2025-01-22 00:00:00+05:30,1278.300049,1282.900024,1268.699951,1277.099976,10273590,0,0,RELIANCE.NS
2025-01-23 00:00:00+05:30,1270,1277.349976,1261.599976,1263.650024,8720682,0,0,RELIANCE.NS
2025-01-24 00:00:00+05:30,1266,1273,1243.5,1246.300049,14235970,0,0,RELIANCE.NS
2025-01-27 00:00:00+05:30,1239.099976,1240.449951,1220,1229.349976,9536019,0,0,RELIANCE.NS
2025-01-28 00:00:00+05:30,1238,1244.75,1218.5,1234.400024,10568025,0,0,RELIANCE.NS
2025-01-29 00:00:00+05:30,1236,1242.75,1228.050049,1235.5,5928156,0,0,RELIANCE.NS
2025-01-30 00:00:00+05:30,1235.550049,1257,1232.400024,1253.050049,9269259,0,0,RELIANCE.NS
2025-01-31 00:00:00+05:30,1255.849976,1267,1249,1265.099976,6584612,0,0,RELIANCE.NS
2025-02-01 00:00:00+05:30,1265.099976,1270.550049,1241,1264.599976,7118453,0,0,RELIANCE.NS
2025-02-03 00:00:00+05:30,1251,1256,1237.550049,1245.900024,9252345,0,0,RELIANCE.NS
2025-02-04 00:00:00+05:30,1248.050049,1288.800049,1246.599976,1285.199951,16691069,0,0,RELIANCE.NS
2025-02-05 00:00:00+05:30,1282.650024,1290.5,1276.699951,1278.199951,10112028,0,0,RELIANCE.NS
2025-02-06 00:00:00+05:30,1273.699951,1288,1270.349976,1281.550049,9956001,0,0,RELIANCE.NS
2025-02-07 00:00:00+05:30,1276.150024,1283.699951,1262,1266.699951,8764283,0,0,RELIANCE.NS
2025-02-10 00:00:00+05:30,1264.5,1266.5,1245.550049,1253.650024,6970972,0,0,RELIANCE.NS
2025-02-11 00:00:00+05:30,1264.550049,1264.550049,1230.099976,1234.849976,8859714,0,0,RELIANCE.NS
2025-02-12 00:00:00+05:30,1219.449951,1226.900024,1193.349976,1216.550049,21131654,0,0,RELIANCE.NS
2025-02-13 00:00:00+05:30,1217.050049,1228,1212,1216.099976,8511216,0,0,RELIANCE.NS
2025-02-14 00:00:00+05:30,1219,1224,1205.449951,1217.25,10298145,0,0,RELIANCE.NS
2025-01-14 00:00:00+05:30,4291.772604,4303.644216,4209.019611,4222.986328,3441709,0,0,TCS.NS
2025-01-15 00:00:00+05:30,4207.972099,4246.330883,4197.447375,4239.49707,1653474,0,0,TCS.NS
2025-01-16 00:00:00+05:30,4249.872334,4283.791503,4181.88445,4196.299805,2637705,0,0,TCS.NS
2025-01-17 00:00:00+05:30,4159.899902,4160.600098,4100.049805,4124.299805,1761466,10,0,TCS.NS
2025-01-20 00:00:00+05:30,4145.799805,4145.799805,4068.100098,4077.800049,1287799,0,0,TCS.NS
2025-01-21 00:00:00+05:30,4095.300049,4111,4030,4035.850098,1971591,0,0,TCS.NS
2025-01-22 00:00:00+05:30,4050,4163.149902,4044.199951,4156.600098,2409223,0,0,TCS.NS
2025-01-23 00:00:00+05:30,4168,4191.350098,4140.049805,4145.450195,1822998,0,0,TCS.NS
2025-01-24 00:00:00+05:30,4104,4178,4104,4152.350098,1910099,0,0,TCS.NS
2025-01-27 00:00:00+05:30,4102,4156.350098,4041.050049,4065.149902,1551782,0,0,TCS.NS
2025-01-28 00:00:00+05:30,4070.800049,4102,4028.300049,4040.300049,2468272,0,0,TCS.NS
2025-01-29 00:00:00+05:30,4054,4107.850098,4054,4099.799805,1217089,0,0,TCS.NS
2025-01-30 00:00:00+05:30,4099.899902,4129.899902,4058.5,4100.049805,1531251,0,0,TCS.NS
2025-01-31 00:00:00+05:30,4110,4128.450195,4085.25,4112.399902,1492943,0,0,TCS.NS
2025-02-01 00:00:00+05:30,4113,4135.899902,4056,4073.149902,437172,0,0,TCS.NS
2025-02-03 00:00:00+05:30,4030.899902,4077,3998.699951,4068.649902,1265713,0,0,TCS.NS
2025-02-04 00:00:00+05:30,4083.699951,4118.850098,4066.050049,4107.049805,2547132,0,0,TCS.NS
2025-02-05 00:00:00+05:30,4150,4150,4076,4091.100098,1693912,0,0,TCS.NS
2025-02-06 00:00:00+05:30,4105.399902,4139.5,4051.550049,4082.75,2284536,0,0,TCS.NS
2025-02-07 00:00:00+05:30,4090,4090,4008,4029.399902,1548940,0,0,TCS.NS
2025-02-10 00:00:00+05:30,4040,4052,4014.350098,4036.949951,1339511,0,0,TCS.NS
2025-02-11 00:00:00+05:30,4018.399902,4040,3955,3963.550049,1810908,0,0,TCS.NS
2025-02-12 00:00:00+05:30,3971.100098,4021.75,3940.149902,3950.149902,1678002,0,0,TCS.NS
2025-02-13 00:00:00+05:30,3968,3984.449951,3902.25,3910.149902,2277310,0,0,TCS.NS
2025-02-14 00:00:00+05:30,3925,3948,3900,3934.850098,1681975,0,0,TCS.NS
2025-01-14 00:00:00+05:30,1639.900024,1656.199951,1637,1646.599976,13330716,0,0,HDFCBANK.NS
2025-01-15 00:00:00+05:30,1656.5,1662.699951,1636.300049,1643.050049,7011446,0,0,HDFCBANK.NS
2025-01-16 00:00:00+05:30,1652.849976,1660.550049,1642.849976,1652.050049,10606227,0,0,HDFCBANK.NS
2025-01-17 00:00:00+05:30,1643.5,1650.5,1628.5,1636.75,11556038,0,0,HDFCBANK.NS
2025-01-20 00:00:00+05:30,1626,1660.949951,1626,1651.25,8778809,0,0,HDFCBANK.NS
2025-01-21 00:00:00+05:30,1658.25,1661.050049,1633.050049,1642.400024,15579072,0,0,HDFCBANK.NS
2025-01-22 00:00:00+05:30,1642.400024,1671.900024,1625.449951,1666.050049,15309653,0,0,HDFCBANK.NS
2025-01-23 00:00:00+05:30,1687,1687,1651.25,1664.900024,17454579,0,0,HDFCBANK.NS
2025-01-24 00:00:00+05:30,1660,1670.300049,1644.5,1649.800049,12118100,0,0,HDFCBANK.NS
2025-01-27 00:00:00+05:30,1641.099976,1643.599976,1626,1629.800049,11402083,0,0,HDFCBANK.NS
2025-01-28 00:00:00+05:30,1647,1684.300049,1647,1670.400024,15089656,0,0,HDFCBANK.NS
2025-01-29 00:00:00+05:30,1675,1681.150024,1668.849976,1677.300049,6309945,0,0,HDFCBANK.NS
2025-01-30 00:00:00+05:30,1681,1697.900024,1672.550049,1691.5,12872423,0,0,HDFCBANK.NS
2025-01-31 00:00:00+05:30,1687.25,1704.699951,1683.949951,1698.75,7910843,0,0,HDFCBANK.NS
2025-02-03 00:00:00+05:30,1670,1686.800049,1663.449951,1678,10138270,0,0,HDFCBANK.NS
2025-02-04 00:00:00+05:30,1688.699951,1725.800049,1680.050049,1720.900024,14308251,0,0,HDFCBANK.NS
2025-02-05 00:00:00+05:30,1733,1744.199951,1718.900024,1737.800049,11837753,0,0,HDFCBANK.NS
2025-02-06 00:00:00+05:30,1735.5,1749,1724,1743.849976,13380358,0,0,HDFCBANK.NS
2025-02-07 00:00:00+05:30,1750,1767,1725,1732.75,11754800,0,0,HDFCBANK.NS
2025-02-10 00:00:00+05:30,1717.300049,1723.449951,1708.5,1715.75,8597975,0,0,HDFCBANK.NS
2025-02-11 00:00:00+05:30,1703,1711,1688.699951,1701.400024,11362352,0,0,HDFCBANK.NS
2025-02-12 00:00:00+05:30,1693,1712,1681.199951,1706.800049,11404785,0,0,HDFCBANK.NS
2025-02-13 00:00:00+05:30,1699,1714.25,1693.550049,1697.699951,6301217,0,0,HDFCBANK.NS
2025-02-14 00:00:00+05:30,1701.900024,1701.900024,1680,1694.849976,9979946,0,0,HDFCBANK.NS
2025-01-14 00:00:00+05:30,1968.849976,1971.800049,1931.099976,1940.050049,5792162,0,0,INFY.NS
2025-01-15 00:00:00+05:30,1947,1958.050049,1937.099976,1949.650024,2985439,0,0,INFY.NS
2025-01-16 00:00:00+05:30,1965.949951,1966.949951,1916.849976,1928.449951,7533579,0,0,INFY.NS
2025-01-17 00:00:00+05:30,1851,1858,1812,1815.449951,16409953,0,0,INFY.NS
2025-01-20 00:00:00+05:30,1822.949951,1827.949951,1793.150024,1813.300049,4333011,0,0,INFY.NS
2025-01-21 00:00:00+05:30,1819.050049,1831.650024,1793.050049,1800.699951,7169109,0,0,INFY.NS
2025-01-22 00:00:00+05:30,1807.400024,1865.800049,1805.150024,1856.449951,8373913,0,0,INFY.NS
2025-01-23 00:00:00+05:30,1858,1879.550049,1852.699951,1865.449951,5907471,0,0,INFY.NS
2025-01-24 00:00:00+05:30,1865.5,1894.900024,1864.25,1875.449951,4887027,0,0,INFY.NS
2025-01-27 00:00:00+05:30,1848.75,1863,1812,1822,7652371,0,0,INFY.NS
2025-01-28 00:00:00+05:30,1830,1863.5,1824.900024,1829.75,6999495,0,0,INFY.NS
2025-01-29 00:00:00+05:30,1845,1888.650024,1840.5,1881.25,5145155,0,0,INFY.NS
2025-01-30 00:00:00+05:30,1873.150024,1887.199951,1844,1859.949951,7336056,0,0,INFY.NS
2025-01-31 00:00:00+05:30,1871,1897.449951,1871,1879.800049,5820470,0,0,INFY.NS
2025-02-01 00:00:00+05:30,1880.300049,1890.599976,1846,1851.349976,1701402,0,0,INFY.NS
2025-02-03 00:00:00+05:30,1836,1876.550049,1832.400024,1863.300049,4823228,0,0,INFY.NS
2025-02-04 00:00:00+05:30,1889,1911.199951,1875,1898.800049,7334787,0,0,INFY.NS
2025-02-05 00:00:00+05:30,1906,1919.699951,1894.300049,1897.050049,4996744,0,0,INFY.NS
2025-02-06 00:00:00+05:30,1917,1924,1900,1915.650024,4765255,0,0,INFY.NS
2025-02-07 00:00:00+05:30,1919.300049,1923.699951,1889.449951,1903.650024,4126260,0,0,INFY.NS
2025-02-10 00:00:00+05:30,1905,1905,1878.599976,1880.300049,3828734,0,0,INFY.NS
2025-02-11 00:00:00+05:30,1883.099976,1903,1870,1875.650024,4411601,0,0,INFY.NS
2025-02-12 00:00:00+05:30,1885,1894.599976,1847,1863.150024,5633947,0,0,INFY.NS
2025-02-13 00:00:00+05:30,1868.5,1873.5,1835.650024,1843.25,5237744,0,0,INFY.NS
2025-02-14 00:00:00+05:30,1854,1859.300049,1828.349976,1856.400024,5292961,0,0,INFY.NS
2025-01-14 00:00:00+05:30,1233.349976,1244.849976,1227.449951,1240.300049,10342698,0,0,ICICIBANK.NS
2025-01-15 00:00:00+05:30,1234,1244.400024,1230,1238.25,5355382,0,0,ICICIBANK.NS
2025-01-16 00:00:00+05:30,1245.099976,1255.5,1239.650024,1249.099976,11895924,0,0,ICICIBANK.NS
2025-01-17 00:00:00+05:30,1243.349976,1249,1218,1225.449951,9790533,0,0,ICICIBANK.NS
